term,entity_code
AAL,AIRPORT
ABQ,AIRPORT
ABV,AIRPORT
ABZ,AIRPORT
ACA,AIRPORT
ACC,AIRPORT
ADA,AIRPORT
ADB,AIRPORT
ADL,AIRPORT
ADW,AIRPORT
AFW,AIRPORT
AGP,AIRPORT
AGS,AIRPORT
AKL,AIRPORT
AKT,AIRPORT
ALA,AIRPORT
ALC,AIRPORT
ALG,AIRPORT
ALP,AIRPORT
AMA,AIRPORT
AMM,AIRPORT
AMS,AIRPORT
ANC,AIRPORT
ARN,AIRPORT
ATH,AIRPORT
ATL,AIRPORT
ATQ,AIRPORT
AUH,AIRPORT
AVL,AIRPORT
AYT,AIRPORT
BAB,AIRPORT
BAH,AIRPORT
BCN,AIRPORT
BDL,AIRPORT
BEL,AIRPORT
BEY,AIRPORT
BFI,AIRPORT
BFS,AIRPORT
BGI,AIRPORT
BGO,AIRPORT
BGR,AIRPORT
BGW,AIRPORT
BGY,AIRPORT
BHD,AIRPORT
BHM,AIRPORT
BHX,AIRPORT
BIL,AIRPORT
BJV,AIRPORT
BKK,AIRPORT
BLA,AIRPORT
BLL,AIRPORT
BLQ,AIRPORT
BLR,AIRPORT
BLV,AIRPORT
BNA,AIRPORT
BNE,AIRPORT
BOD,AIRPORT
BOG,AIRPORT
BOH,AIRPORT
BOI,AIRPORT
BOJ,AIRPORT
BOM,AIRPORT
BOO,AIRPORT
BOS,AIRPORT
BRE,AIRPORT
BRI,AIRPORT
BRS,AIRPORT
BRU,AIRPORT
BSB,AIRPORT
BSL,AIRPORT
BSR,AIRPORT
BTS,AIRPORT
BUD,AIRPORT
BUF,AIRPORT
BWI,AIRPORT
BWN,AIRPORT
BZE,AIRPORT
BZZ,AIRPORT
CAE,AIRPORT
CAG,AIRPORT
CAI,AIRPORT
CBM,AIRPORT
CBR,AIRPORT
CCJ,AIRPORT
CCS,AIRPORT
CCU,AIRPORT
CDG,AIRPORT
CEB,AIRPORT
CGH,AIRPORT
CGK,AIRPORT
CGN,AIRPORT
CGO,AIRPORT
CGY,AIRPORT
CHC,AIRPORT
CHS,AIRPORT
CIA,AIRPORT
CID,AIRPORT
CJJ,AIRPORT
CJU,AIRPORT
CKG,AIRPORT
CLE,AIRPORT
CLT,AIRPORT
CMB,AIRPORT
CMH,AIRPORT
CMN,AIRPORT
CNF,AIRPORT
CNX,AIRPORT
COK,AIRPORT
CPH,AIRPORT
CPR,AIRPORT
CPT,AIRPORT
CRK,AIRPORT
CRL,AIRPORT
CRP,AIRPORT
CRW,AIRPORT
CSX,AIRPORT
CTA,AIRPORT
CTS,AIRPORT
CTU,AIRPORT
CUN,AIRPORT
CUZ,AIRPORT
CVG,AIRPORT
CVS,AIRPORT
CWB,AIRPORT
CWL,AIRPORT
DAB,AIRPORT
DAL,AIRPORT
DAM,AIRPORT
DAR,AIRPORT
DBQ,AIRPORT
DCA,AIRPORT
DEL,AIRPORT
DEN,AIRPORT
DFW,AIRPORT
DHA,AIRPORT
DKR,AIRPORT
DLC,AIRPORT
DLF,AIRPORT
DLH,AIRPORT
DLM,AIRPORT
DME,AIRPORT
DMK,AIRPORT
DMM,AIRPORT
DNA,AIRPORT
DOH,AIRPORT
DOV,AIRPORT
DPS,AIRPORT
DQM,AIRPORT
DRS,AIRPORT
DSA,AIRPORT
DSM,AIRPORT
DSS,AIRPORT
DTM,AIRPORT
DTW,AIRPORT
DUB,AIRPORT
DUR,AIRPORT
DUS,AIRPORT
DVO,AIRPORT
DWC,AIRPORT
DXB,AIRPORT
DYS,AIRPORT
EDI,AIRPORT
EDW,AIRPORT
EIN,AIRPORT
EMA,AIRPORT
ERI,AIRPORT
ERZ,AIRPORT
ESB,AIRPORT
EVN,AIRPORT
EWR,AIRPORT
EXT,AIRPORT
EZE,AIRPORT
FAI,AIRPORT
FAO,AIRPORT
FCO,AIRPORT
FFD,AIRPORT
FFO,AIRPORT
FKB,AIRPORT
FLL,AIRPORT
FLN,AIRPORT
FMO,AIRPORT
FOC,AIRPORT
FRA,AIRPORT
FRU,AIRPORT
FSM,AIRPORT
FSZ,AIRPORT
FTW,AIRPORT
FUK,AIRPORT
FWA,AIRPORT
GCM,AIRPORT
GDL,AIRPORT
GDN,AIRPORT
GEG,AIRPORT
GIG,AIRPORT
GLA,AIRPORT
GMP,AIRPORT
GOA,AIRPORT
GOI,AIRPORT
GPT,AIRPORT
GRB,AIRPORT
GRJ,AIRPORT
GRU,AIRPORT
GRV,AIRPORT
GSB,AIRPORT
GSO,AIRPORT
GSP,AIRPORT
GUM,AIRPORT
GUS,AIRPORT
GVA,AIRPORT
GYD,AIRPORT
GZT,AIRPORT
HAJ,AIRPORT
HAK,AIRPORT
HAM,AIRPORT
HAN,AIRPORT
HAV,AIRPORT
HEL,AIRPORT
HET,AIRPORT
HGH,AIRPORT
HIB,AIRPORT
HKG,AIRPORT
HKT,AIRPORT
HMN,AIRPORT
HMO,AIRPORT
HND,AIRPORT
HNL,AIRPORT
HOU,AIRPORT
HRB,AIRPORT
HRG,AIRPORT
HRI,AIRPORT
HRK,AIRPORT
HSV,AIRPORT
HTS,AIRPORT
HYD,AIRPORT
IAD,AIRPORT
IAH,AIRPORT
ICN,AIRPORT
ICT,AIRPORT
IGU,AIRPORT
IKA,AIRPORT
IND,AIRPORT
ISB,AIRPORT
ISE,AIRPORT
ITM,AIRPORT
JAX,AIRPORT
JED,AIRPORT
JFK,AIRPORT
JLN,AIRPORT
JNB,AIRPORT
JUB,AIRPORT
KAN,AIRPORT
KBP,AIRPORT
KEF,AIRPORT
KGF,AIRPORT
KHH,AIRPORT
KHV,AIRPORT
KIN,AIRPORT
KIX,AIRPORT
KJA,AIRPORT
KMG,AIRPORT
KNH,AIRPORT
KNO,AIRPORT
KOJ,AIRPORT
KRK,AIRPORT
KRT,AIRPORT
KTW,AIRPORT
KUF,AIRPORT
KUL,AIRPORT
KUV,AIRPORT
KWE,AIRPORT
KWI,AIRPORT
KWL,AIRPORT
KZN,AIRPORT
