Request ID,Text,categories,is_text_annotated
2047,"Hi all,

I have booked to fly from `Sydney``PN``FROM``SYD`´ to `Los Angeles``PN``TO``LAX`´ return on a `747-400``SN``AIRCRAFT`´ and have a couple of questions.

I am flyting

1) Is there `wifi``SK`´ on the plane and do you have to `pay for``PK``fees`´ it?
2) Is there capability to `charge``SK`´ an `iPhone``SK`´ or `iPad``SK`´ `in flight``PK``in-flight`´?
3) From what I can work out, `meals``SK`´ are included but you have to `pay for``PK``fees`´ `alcohol``SK`´??

Any advice would be appreciated. Thanks in advance.",Service Offering/Procedure|Technology,True
1997,"If my friend and I are turning 17, but want to `travel alone``SK`´, would there be any `legal issues``SK`´ with that?

I realize it may vary by country. As we live in the `United States``SN``FROM`´, we were exploring options where `airfare``SK`´ would be relatively `affordable``SK`´ and `budget travel``SK`´ possible, such as `Canada``SN``TO`´ and `certain Caribbean nations``SN``TO`´.

I realize `minors``SK`´ `fly alone``PK``travel alone`´ all the time, but I was wondering if the fact that we have nobody in the country looking after us would be a problem.

ALSO, if we went on a techincally ""domestic"" trip, such as one to `Puerto Rico``SN``TO`´ or `Virgin Islands``SN``TO`´, would it make a difference as we do not have to deal with `customs``SK`´?

Any help would be greatly appreciated!",Trip Planning|Customs/Immigration|Legal,True
1999,"Hey All,

In May, we'll be flying from `YYZ``SN``FROM`´ to `JFK``SN``TO`´ -(landing at 7:50 am at `Terminal 4``SK`´ - `Delta``SN``AIRLINE`´) and `JFK``SN``FROM`´ to `BKK``SN``TO`´, departing at 12:30 pm from `Terminal 7``SK`´.

We have all our flights booked but I'm wondering if it would be `enough time``PK``timing`´ to catch the flight from `JFK``SN``FROM`´? I'm assuming `pre-screening``SK`´ will be done at `YYZ``SN``AT`´?

Is this a good `enough time``PK``timing`´ frame?

Thanks",Trip Planning|Security,True
2003,"Here is a little story for you `football``SK`´ fans out there.

Couple of weeks ago My wife and I decide to book a flight to `Memphis``SN``TO`´ Feb1 to Feb3, to meet up with relatives. Personally I didnt want to go. Now, we all know that Feb3 is the `superbowl``SK`´. I told my wife I was cool with coming home Feb3. I am a NY Giants fan and no one out there including myself(die hard fan) didnt think that the Giant would ever make it to the `superbowl``SK`´.

OK, we are flying back Feb3 not too bad right? WRONG!!! Our flight is during the game. AHHH! So i decide to try to `change the flight``PK``changing flight`´ to earlier time.

Well, online they wanted to `charge me``PK``fees`´ $300 to change my flight to leave 3 hours earlier. So I figured that I will call them and maybe they can reason with me.

Well, I called and waited 30 minutes to talk to someone and they told me the same thing $300. I told them it was highway robbery. I can understand why for changing times. I t makes more sense to penalize you if you `canceled``PK``cancellation`´ or if you changed carriers, but not for changeing times.

I dont think its right. There are many companies to choose from and I choose them. You would think a little help would be nice from them. What if there was an emergency at home? What are they going to `charge me``PK``fees`´ $300 for that too.

Sorry, but I'm just `frustrated``SK`´ and I dont think it is fair for paying customers to pay a penalty to changes the times of their flight.

Back to the `superbowl``SK`´ issue... I am planning to do standby in case we get lucky. I will also record the game so I can watch it when I get home that night. I will have to not listen to the radio or look at an TVs before getting home.

So therefore NWA `is not cool``SK`´ and I wil `not choose them again``SK`´. And wish me luck on being able to watch he game. ----",,True
1549,"Quick question...

I've just pre booked my `seats``PK``seating`´ on a `return flight``SK`´ from `Kos``SN``FROM`´ to `Newcastle``SN``TO`´ in October, with `Thomas Cook``SN``AIRLINE`´. I'm flying on a `320``SN``AIRCRAFT`´ and have chosen Row 12, `seats``PK``seating`´ B & C `exit/extra leg room``SK`´ `seats``PK``seating`´

However, on reading another website, its mentioned that this row does not `recline``SK`´ (as they are the front row of 2 rows of exit `seats``PK``seating`´ therefore have an `emergency exit``SK`´ directly behind them)...can anyone `confirm``PK``confirmation`´/deny this?

The row behind is also `exit/extra leg room``SK`´...should I move `seats``PK``seating`´ back?

I thought the front row would be better as there wouldn't be anyone's knees in my back :)

TIA Laura x",,True
2010,"Can anyone give me a suggestion on how to `exchange my inbound ticket``PK``ticket changes`´ `New York City``SN``FROM`´ - `Moscow``SN``TO`´ via `Alitalia``SN``AIRLINE`´?

I called their `call center``SK`´ at 800 223 5730 to `exchange my inbound ticket``PK``ticket changes`´ from `JFK``SN``FROM`´ to `SVO``SN``TO`´ from `June``SN``FROM`´, 22 to `July``SN``TO`´ 29th or any further date. After the `representative``SK`´ checked the status, I was told that this would be impossible to do because `Aeroflot``SN``AIRLINE`´ made a `mistake``SK`´ processing the inbound flight.

Apparently, `Alitalia``SN``AIRLINE`´ `canceled``PK``cancellation`´ the outbound flight, and passengers including me were moved to `Aeroflot``SN``AIRLINE`´ flight. Somehow, `Aeroflot``SN``AIRLINE`´ marked the status as ""changed"" but did not mark it as ""flown"". 

The `representative``SK`´ at `Alitalia``SN``AIRLINE`´ told me that there is nothing they could do now. He said ""you have a very slight chance that `Alitalia``SN``AIRLINE`´ office at JFK would be able to help"". I live over 100 `miles``SK`´ away from `JFK``SN``FROM`´ and going there for a ""very slight chance"" is not a great option. I don't see why should I be held responsible for any `mistakes``SK`´ made by airlines.

Is there `Alitalia``SN``AIRLINE`´ office in `New York City``SN``AT`´? Is there another `phone number``SK`´ that I could get a better help?

Any advice would be deeply appreciated.",Trip Planning,True
1941,"One of our checked `bag``SK`´ was opened by `TSA``SK`´. All the stuff at the bottom ended up at the top. We know `TSA``SK`´ opened the `bag``SK`´ as they left their note inside on the top.

This isn't the first time we have had a `bag``SK`´ opened by them, but it's the first time they didn't replace the cable tie, and didn't close up the zips fully.

The key thing is that my nice `hiking pole``SK`´ was `missing``SK`´ from the case. It had been at the very bottom of the case. We don't why the `hiking pole``SK`´ is `missing``SK`´. It's not a forbidden item, and the friends we travelled with who also had a `bag``SK`´ opened didnt get theirs taken.

The issue is, as the cable tie wasnt replaced, we don't know if the `missing``SK`´ `hiking pole``SK`´ was purposefully removed by `TSA``SK`´, not returned to our `bag``SK`´ in `error``SK`´ or removed by another party after `TSA``SK`´ opened our `bag``SK`´.

What can we do?

Where do we stand with `TSA``SK`´ on this? Do `TSA``SK`´ have any responsibility for our `loss``SK`´? `TSA``SK`´ provide email contact info on their form.

Is it worth contacting them? Any better suggestions?",Security|Complaint,True
1968,"My son will be flying home from college but needs to bring his very expensive `trombone``SK`´ back with him for the summer. The `trombone``SK`´ is certainly larger than the `carry on dimensions``SK`´ would allow and I am afraid to have him check it.

My thought is that we can buy the `trombone``SK`´ a `seat``PK``seating`´ as that is what either `AA``SN``AIRLINE`´ or `SWA``SN``AIRLINE`´ say we can do. 

It actually works out financially as it is one way ticket so not too expensive and much easier than flying out renting a car and driving the 12+ hours home.

My question is has anyone ever bought a `seat``PK``seating`´ for their instrument or even 2 `seats``PK``seating`´ for themselves?

Would their be issues getting the `trombone``SK`´ through `TSA``SK`´ or will the `trombone``SK`´ be given ""its own `boarding pass``SK`´"" (under my sons name).

Any other unexpected problems we should be aware of?

TIA, -",Trip Planning|Service Offering/Procedure,True
1881,"I have booked a `return flight``SK`´ from `Rio``SN``FROM`´ to `Iguassu Falls``SN``TO`´ (`Foz do Iguacu``SN``TO`´) for June, just before the start of the `World Cup``SK`´. Any comments (or warnings) from anyone?

They are only short flights so I'm not too worried about `in-flight service``PK``in-flight`´ or `food``PK``meals`´, but anything I need to know about other issues?

Do they have a habit of changing flight times last minute, or even `cancelling``PK``cancellation`´ flights altogether?

Any tips for either airport - `GIG in Rio``SN``AT`´ and `IGU in Iguassu Falls``SN``AT`´ (Brazil side) that will avoid me getting stressed?

Thanks in advance, ---------",Trip Planning|Service Offering/Procedure,True
1895,"will I make it to `bus``SK`´ to `east Midlands``SN``TO`´ 7.10 departure for pick up there by friend if I arrive `BA``SN``AIRLINE`´ `terminal 5``SK`´ at 5.30 pm Sunday and - not sure which terminal the `bus``SK`´ station is at?

or should i plan to or plan B -stay at cheaper `hotel``SK`´ nearby and if so many thanks which is best for `bus``SK`´ on the Monday please?",Trip Planning,True
